"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"346","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0608.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0608.JPG","1","RBLY_F","1","","1",4,2021-11-11
"347","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0609.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0609.JPG","1","RLBY_F","1","","1",5,2021-11-11
"348","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0620.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0620.JPG","1","RWWB","0","","1",5,2021-11-11
"349","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0634.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0634.JPG","1","RBBL","0","","1",3,2021-11-11
"350","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0662.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0662.JPG","1","RRRB","0","","1",5,2021-11-11
"351","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0675.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0675.JPG","1","RROO","0","","1",5,2021-11-11
"352","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0679.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0679.JPG","1","RROO","0","","1",5,2021-11-11
"353","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0689.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0689.JPG","1","RBRL","0","","1",5,2021-11-11
"354","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0652.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0652.JPG","1","RLYR","0","METAL ON LEFT","0",NA,2021-11-11
"355","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob/IMG_0653.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_11 Dot ob","IMG_0653.JPG","1","RLYR","0","METAL ON LEFT","0",NA,2021-11-11
"356","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0740.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0740.JPG","1","RLYR","0","METAL ON LEFT","1",4,2021-11-12
"357","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0765.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0765.JPG","1","RROO","0","","1",5,2021-11-12
"358","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0768.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0768.JPG","1","RRRB","0","","1",5,2021-11-12
"359","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0780.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0780.JPG","1","RRWW","0","","1",6,2021-11-12
"360","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0782.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0782.JPG","1","RRWW","0","","1",6,2021-11-12
"361","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0795.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0795.JPG","1","RWLG","0","","1",5,2021-11-12
"362","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0741.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0741.JPG","1","RRRB","0","","0",NA,2021-11-12
"363","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40/IMG_0756.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_12 Dot ob new nest 40","IMG_0756.JPG","1","RRRB","0","","0",NA,2021-11-12
"364","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_16 Godwits, Gooch dots, and dog chase/IMG_0888.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_16 Godwits, Gooch dots, and dog chase","IMG_0888.JPG","1","RRBG","0","","1",5,2021-11-16
"365","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_16 Godwits, Gooch dots, and dog chase/IMG_0898.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_16 Godwits, Gooch dots, and dog chase","IMG_0898.JPG","1","RRBG","0","","1",5,2021-11-16
"366","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_16 Godwits, Gooch dots, and dog chase/IMG_0931.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_16 Godwits, Gooch dots, and dog chase","IMG_0931.JPG","1","RRLY","0","","0",NA,2021-11-16
"367","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_17 Dotterel ob Hatch 32 Gooch gulls/IMG_0991.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_17 Dotterel ob Hatch 32 Gooch gulls","IMG_0991.JPG","1","RLYR","0","METAL ON LEFT","1",4,2021-11-17
